4.9015077	4.635736	56.16037
0.2070311	4.379851	44.21257
0.4001287	6.391127	64.71152
4.0789754	5.366221	61.82017
1.8205667	4.236896	46.01009
1.9679113	5.96661	63.60192
2.6332838	4.493258	50.19915
15.0411588	3.525074	65.33306
8.2201839	0.027985	76.72022
1.1099177	7.098843	73.20827
2.0554562	5.238915	56.50006
1.6086302	5.268034	55.8976
1.0874197	4.325329	45.42813
4.261506	5.283349	61.3565
15.7153653	3.705827	68.489
48.3923823	4.95369	146.32166
1.7023117	5.19041	55.30873
2.3458293	6.015463	64.84629
6.0678539	6.175747	73.89318
9.0778065	5.44114	72.56701
